"","YYYY","MM","DD","HH","mm","L","ACI","ADI","AEI","BI","H","AR"
"2020-12-18-12-24-CSLIB","2020","12","18","12","24","CSLIB",1896.19513554663,1.54553,0.353275,14.825401836788,0.786316868841264,0.383431952662722
"2020-12-19-15-06-CSLIB","2020","12","19","15","06","CSLIB",1826.95235300251,1.317813,0.312409,10.5631659549748,0.756907934900996,0.242366863905325
"2020-12-23-12-24-CSLIB","2020","12","23","12","24","CSLIB",1821.23159735002,0.410675,0.131791,11.8657421717195,0.571665249806623,0.312426035502959
"2020-12-24-05-54-CSLIB","2020","12","24","05","54","CSLIB",1791.4569870679,0.803376,0.213833,5.0095541955794,0.71996972786304,0.0915976331360947
"2020-12-26-07-48-CSLIB","2020","12","26","07","48","CSLIB",2018.56437054046,1.642833,0.412996,18.9580133290405,0.737816687287791,0.0085207100591716
"2020-12-27-05-18-CSLIB","2020","12","27","05","18","CSLIB",1804.61698240578,1.22774,0.261125,8.80591221261292,0.755306458211906,0.620828402366864
"2020-12-27-15-06-CSLIB","2020","12","27","15","06","CSLIB",1843.87514522238,1.529739,0.38863,14.9847857237641,0.781443694474355,0.0833136094674556
"2020-12-27-16-06-CSLIB","2020","12","27","16","06","CSLIB",1824.79959446694,1.203767,0.306568,7.68819065514958,0.666357104170274,0.0710059171597633
"2020-12-30-05-48-CSLIB","2020","12","30","05","48","CSLIB",1850.44570740387,0.98056,0.212576,17.7085308127054,0.672366677258773,0.54508875739645
"2021-01-07-06-54-CSLIB","2021","01","07","06","54","CSLIB",1975.88684861567,1.555799,0.370758,18.6106630099091,0.77485854007154,0.0944378698224852
"2021-01-11-18-18-CSLIB","2021","01","11","18","18","CSLIB",1850.35562794182,1.567599,0.371741,12.8342740014551,0.723270428496901,0.815384615384615
"2021-01-13-05-42-CSLIB","2021","01","13","05","42","CSLIB",1788.59358729169,0.309461,0.119607,10.6195059278328,0.627966972006861,0.141538461538462
"2021-01-14-16-48-CSLIB","2021","01","14","16","48","CSLIB",1809.32207618496,0.756177,0.173254,11.9193916650862,0.668315440669109,0.472189349112426
"2021-01-16-06-54-CSLIB","2021","01","16","06","54","CSLIB",1971.15212782237,1.74602,0.44327,17.5732058206529,0.793592634940776,0.0563313609467456
"2021-01-18-11-42-CSLIB","2021","01","18","11","42","CSLIB",1806.46367652644,0.803532,0.194381,13.2878902147756,0.709348573050998,0.268402366863905
"2021-01-18-15-30-CSLIB","2021","01","18","15","30","CSLIB",1763.84944566857,1.133141,0.26893,6.60889251698676,0.701257744463975,0.781065088757396
"2021-01-20-05-30-CSLIB","2021","01","20","05","30","CSLIB",1781.15042961391,0.235729,0.118717,9.57195341518946,0.538465049160927,0.0461538461538462
"2021-01-20-14-54-CSLIB","2021","01","20","14","54","CSLIB",1771.50583024936,0.576661,0.153648,11.6131217458799,0.60618779936563,0.642366863905325
"2021-01-22-18-54-CSLIB","2021","01","22","18","54","CSLIB",1781.36190793793,0.246298,0.114395,9.54599081231676,0.566353748515397,0.175147928994083
"2021-01-26-13-30-CSLIB","2021","01","26","13","30","CSLIB",1820.34078272676,0.525384,0.141576,10.2000311545708,0.579836163000666,0.615384615384615
"2021-01-28-05-54-CSLIB","2021","01","28","05","54","CSLIB",1779.24909475287,0.832938,0.209512,8.17851828018763,0.665974686634322,0.0615384615384615
"2021-01-28-09-18-CSLIB","2021","01","28","09","18","CSLIB",1894.66302161575,1.889436,0.514346,17.7435081803652,0.785432904277878,0.0177514792899408
"2021-01-28-14-30-CSLIB","2021","01","28","14","30","CSLIB",1761.93508324016,0.46083,0.136796,4.06782656400401,0.661624291786505,0.0497041420118343
"2021-01-30-07-00-CSLIB","2021","01","30","07","00","CSLIB",1819.33914358432,1.316416,0.314226,11.8089072400178,0.674483944969503,0.281420118343195
"2021-01-30-14-12-CSLIB","2021","01","30","14","12","CSLIB",1785.35546308695,0.472345,0.133039,6.80085296839146,0.619774038039092,0.156213017751479
"2021-01-31-07-42-CSLIB","2021","01","31","07","42","CSLIB",1771.09826216836,1.29684,0.295294,17.2039597951082,0.737201844566367,0.230769230769231
"2021-02-02-08-54-CSLIB","2021","02","02","08","54","CSLIB",1796.36573411024,0.810224,0.198067,14.8432121254545,0.653839009835644,0.19810650887574
"2021-02-02-13-30-CSLIB","2021","02","02","13","30","CSLIB",1797.65416475352,0.563614,0.147501,11.7660279061168,0.604890805153523,0.460118343195266
"2021-02-03-10-00-CSLIB","2021","02","03","10","00","CSLIB",1884.88266206515,1.192379,0.276963,14.0226761187748,0.734699194689574,0.00568047337278106
"2021-02-03-13-30-CSLIB","2021","02","03","13","30","CSLIB",1778.57828242466,1.177954,0.256543,8.26009522758207,0.66525179753222,0.0312426035502959
"2021-02-04-09-18-CSLIB","2021","02","04","09","18","CSLIB",1849.17180737646,0.966522,0.232455,14.8148326355795,0.687099026617588,0.152899408284024
"2021-02-05-09-30-CSLIB","2021","02","05","09","30","CSLIB",1791.15498582085,0.338247,0.124568,13.3245995702838,0.563225257164812,0.821775147928994
"2021-02-05-17-54-CSLIB","2021","02","05","17","54","CSLIB",1784.14562744688,0.767418,0.177089,10.8513589058202,0.651826213576558,0.738461538461539
"2021-02-18-11-54-CSLIB","2021","02","18","11","54","CSLIB",1794.90847018465,0.392015,0.129559,8.02920291028956,0.604547050683236,0.69301775147929
"2021-02-20-09-30-CSLIB","2021","02","20","09","30","CSLIB",1805.5225312863,0.473225,0.140032,18.2094895050906,0.564330968328291,0.112426035502959
"2021-02-23-15-48-CSLIB","2021","02","23","15","48","CSLIB",1793.39689984742,0.514929,0.147023,10.5650316492645,0.618956586273639,0.549112426035503
"2021-02-24-14-06-CSLIB","2021","02","24","14","06","CSLIB",1797.04739840614,0.502628,0.135975,13.1899189286951,0.529750640479923,0.0397633136094675
"2021-02-25-10-54-CSLIB","2021","02","25","10","54","CSLIB",1798.34310111088,0.420295,0.13148,11.0280292354249,0.610480996480038,0.258461538461538
"2021-02-25-18-42-CSLIB","2021","02","25","18","42","CSLIB",1789.74836821388,1.234354,0.262716,10.2815023999887,0.682473411302102,0.969230769230769
"2021-02-26-17-48-CSLIB","2021","02","26","17","48","CSLIB",1782.91150572809,0.998881,0.213425,13.1780145880837,0.655459476310802,0.249940828402367
"2021-02-27-06-30-CSLIB","2021","02","27","06","30","CSLIB",1769.30684909014,0.846578,0.195643,18.8589701288409,0.707226357982113,0.556213017751479
"2021-03-01-06-36-CSLIB","2021","03","01","06","36","CSLIB",1814.96523911166,1.052008,0.224328,11.6529983802421,0.728793441747609,0.672662721893491
"2021-03-02-10-00-CSLIB","2021","03","02","10","00","CSLIB",1787.5491503855,0.931821,0.207559,15.3672404517027,0.589280101827957,0.096094674556213
"2021-03-03-08-36-CSLIB","2021","03","03","08","36","CSLIB",1898.66854965014,1.349438,0.302696,15.8401708554509,0.732552383168304,0.410887573964497
"2021-03-03-15-48-CSLIB","2021","03","03","15","48","CSLIB",1825.44994806843,0.584917,0.150343,18.5062071081294,0.556821492552963,0.0702958579881657
"2021-03-05-14-24-CSLIB","2021","03","05","14","24","CSLIB",1826.75511370096,0.506543,0.14072,9.25558190551705,0.499266020269374,0.0312426035502959
"2021-03-05-18-48-CSLIB","2021","03","05","18","48","CSLIB",1796.21872719432,0.200498,0.110657,8.18860352483649,0.586056949414335,0.715029585798817
"2021-03-06-09-06-CSLIB","2021","03","06","09","06","CSLIB",1795.94412186886,0.994377,0.216349,12.0103119171725,0.673690832843224,0.969467455621302
"2021-03-07-16-48-CSLIB","2021","03","07","16","48","CSLIB",1795.92243940058,0.136311,0.108268,12.7893371015971,0.551475807681952,0.0530177514792899
"2021-03-16-14-24-CSLIB","2021","03","16","14","24","CSLIB",1838.81179545872,0.451428,0.131542,11.2528504641341,0.545582319525111,0.442603550295858
"2021-03-20-13-30-CSLIB","2021","03","20","13","30","CSLIB",1777.27475936517,0.615904,0.186483,11.5420315499427,0.600187495912169,0.522603550295858
"2021-03-20-18-48-CSLIB","2021","03","20","18","48","CSLIB",1815.67275144046,0.342405,0.139745,9.05972396703333,0.583133838649781,0.178934911242604
"2021-03-22-14-24-CSLIB","2021","03","22","14","24","CSLIB",1831.75459242801,1.217877,0.291778,5.9363575918133,0.594873752233719,0.000236686390532544
"2021-03-23-06-00-CSLIB","2021","03","23","06","00","CSLIB",1754.94683982721,1.262712,0.278195,13.5013674606931,0.711648432937312,0.468639053254438
"2021-03-28-17-30-CSLIB","2021","03","28","17","30","CSLIB",1850.349719137,0.835741,0.185555,16.2879274982743,0.672222739595754,0.615621301775148
"2021-04-01-12-24-CSLIB","2021","04","01","12","24","CSLIB",1856.449746954,0.679574,0.176356,4.72921805696027,0.537503136344409,0.000946745562130178
"2021-04-01-18-18-CSLIB","2021","04","01","18","18","CSLIB",1846.34254135402,1.098587,0.234929,11.0711480462804,0.645160275536531,0.551715976331361
"2021-04-02-05-12-CSLIB","2021","04","02","05","12","CSLIB",1802.96283300046,0.784274,0.200574,14.4944720800778,0.684090381374982,0.329940828402367
"2021-04-02-12-00-CSLIB","2021","04","02","12","00","CSLIB",1789.65039219076,0.592929,0.157983,14.5423901450522,0.581695464689363,0.00757396449704142
"2021-04-02-14-06-CSLIB","2021","04","02","14","06","CSLIB",1799.99335142285,0.235779,0.116336,12.5475069570573,0.530248977609416,0.0153846153846154
"2021-04-07-08-24-CSLIB","2021","04","07","08","24","CSLIB",1793.28178419142,1.078157,0.243371,10.1849227684655,0.660766629714322,0.149112426035503
"2021-04-08-09-42-CSLIB","2021","04","08","09","42","CSLIB",1787.94719990213,0.825414,0.213101,11.027188166959,0.659286296907444,0.377751479289941
"2021-04-09-05-00-CSLIB","2021","04","09","05","00","CSLIB",1799.19210551063,1.037308,0.21737,17.2448398644264,0.596737641614381,0.0489940828402367
"2021-04-10-08-24-CSLIB","2021","04","10","08","24","CSLIB",1793.64240156992,0.440712,0.144528,14.273226124406,0.603121882327265,0.0113609467455621
"2021-04-15-13-00-CSLIB","2021","04","15","13","00","CSLIB",1792.62005211905,0.628706,0.15464,9.46199040707758,0.600225267226906,0.865798816568047
