"","M","Ht","AR"
"2020-12-18-12-24-CSLIB",0.00937065474107427,0.966586385308165,0.383431952662722
"2020-12-19-15-06-CSLIB",0.0081194831400004,0.959118882894478,0.242366863905325
"2020-12-23-12-24-CSLIB",0.00817236949608266,0.964164137227077,0.312426035502959
"2020-12-24-05-54-CSLIB",0.00220536556871347,0.965986496718533,0.0915976331360947
"2020-12-26-07-48-CSLIB",0.0028965300011407,0.91993166572011,0.0085207100591716
"2020-12-27-05-18-CSLIB",0.012524777880907,0.975625300618479,0.620828402366864
"2020-12-27-15-06-CSLIB",0.00363627992229178,0.950960159549347,0.0833136094674556
"2020-12-27-16-06-CSLIB",0.00733564912489416,0.937877317733687,0.0710059171597633
"2020-12-30-05-48-CSLIB",0.0145985844135031,0.969093860159952,0.54508875739645
"2021-01-07-06-54-CSLIB",0.00435864640450519,0.950787631705125,0.0944378698224852
"2021-01-11-18-18-CSLIB",0.015312528171876,0.98625718850447,0.815384615384615
"2021-01-13-05-42-CSLIB",0.00690824273117017,0.951574862451895,0.141538461538462
"2021-01-14-16-48-CSLIB",0.00895265039595066,0.973578062209956,0.472189349112426
"2021-01-16-06-54-CSLIB",0.00351666528193514,0.944074211178913,0.0563313609467456
"2021-01-18-11-42-CSLIB",0.00474238633316198,0.972473515055543,0.268402366863905
"2021-01-18-15-30-CSLIB",0.0231567549347154,0.973029855857623,0.781065088757396
"2021-01-20-05-30-CSLIB",0.00330772092829096,0.938956687778527,0.0461538461538462
"2021-01-20-14-54-CSLIB",0.0131136035998779,0.974254256950483,0.642366863905325
"2021-01-22-18-54-CSLIB",0.00984444109879816,0.950219987089651,0.175147928994083
"2021-01-26-13-30-CSLIB",0.0146537065856997,0.972279646277812,0.615384615384615
"2021-01-28-05-54-CSLIB",0.00259152035772851,0.953722951294296,0.0615384615384615
"2021-01-28-09-18-CSLIB",0.00362132506563091,0.92748462535735,0.0177514792899408
"2021-01-28-14-30-CSLIB",0.00213012601918023,0.958490580425729,0.0497041420118343
"2021-01-30-07-00-CSLIB",0.0108283664059298,0.958392010232786,0.281420118343195
"2021-01-30-14-12-CSLIB",0.00451806996157703,0.960248012230666,0.156213017751479
"2021-01-31-07-42-CSLIB",0.0102951360659456,0.952725573329636,0.230769230769231
"2021-02-02-08-54-CSLIB",0.00757563781349247,0.953799640285295,0.19810650887574
"2021-02-02-13-30-CSLIB",0.0155670337593372,0.963271304629141,0.460118343195266
"2021-02-03-10-00-CSLIB",0.00179282173078053,0.923491949366107,0.00568047337278106
"2021-02-03-13-30-CSLIB",0.00268169810441386,0.938333951872764,0.0312426035502959
"2021-02-04-09-18-CSLIB",0.00364658759891247,0.963299607044318,0.152899408284024
"2021-02-05-09-30-CSLIB",0.0260799490153847,0.973350172309339,0.821775147928994
"2021-02-05-17-54-CSLIB",0.0151219947465102,0.975345381163015,0.738461538461539
"2021-02-18-11-54-CSLIB",0.024848874709307,0.969397357461839,0.69301775147929
"2021-02-20-09-30-CSLIB",0.00641750505812447,0.95018379625577,0.112426035502959
"2021-02-23-15-48-CSLIB",0.0105798461820885,0.973821902398976,0.549112426035503
"2021-02-24-14-06-CSLIB",0.00593213442471032,0.931296854555347,0.0397633136094675
"2021-02-25-10-54-CSLIB",0.0071507102780661,0.963992036371208,0.258461538461538
"2021-02-25-18-42-CSLIB",0.0310380729606477,0.979144585366446,0.969230769230769
"2021-02-26-17-48-CSLIB",0.0126974719176145,0.952103160424779,0.249940828402367
"2021-02-27-06-30-CSLIB",0.0135145443749173,0.971168790925183,0.556213017751479
"2021-03-01-06-36-CSLIB",0.0196250885031424,0.969770640914102,0.672662721893491
"2021-03-02-10-00-CSLIB",0.0071866687989986,0.938775359812546,0.096094674556213
"2021-03-03-08-36-CSLIB",0.0184390869130332,0.958784492656774,0.410887573964497
"2021-03-03-15-48-CSLIB",0.00696046833510495,0.937961471208724,0.0702958579881657
"2021-03-05-14-24-CSLIB",0.00495565315115163,0.92855452751685,0.0312426035502959
"2021-03-05-18-48-CSLIB",0.0189886704315915,0.972462141186231,0.715029585798817
"2021-03-06-09-06-CSLIB",0.0293940599099449,0.979697314019693,0.969467455621302
"2021-03-07-16-48-CSLIB",0.0021872076711527,0.956835214548939,0.0530177514792899
"2021-03-16-14-24-CSLIB",0.0183840962708706,0.960714337141917,0.442603550295858
"2021-03-20-13-30-CSLIB",0.0140552562128905,0.967608706697209,0.522603550295858
"2021-03-20-18-48-CSLIB",0.0109288857181699,0.946837164922466,0.178934911242604
"2021-03-22-14-24-CSLIB",0.000454655233603483,0.864811112147687,0.000236686390532544
"2021-03-23-06-00-CSLIB",0.0129014754929378,0.966188680816344,0.468639053254438
"2021-03-28-17-30-CSLIB",0.0150040370640378,0.972006528201234,0.615621301775148
"2021-04-01-12-24-CSLIB",0.000486306050562264,0.917593594948927,0.000946745562130178
"2021-04-01-18-18-CSLIB",0.0269040086442022,0.963278678069059,0.551715976331361
"2021-04-02-05-12-CSLIB",0.00841385932691498,0.964701168812696,0.329940828402367
"2021-04-02-12-00-CSLIB",0.00130605267641332,0.932814038606735,0.00757396449704142
"2021-04-02-14-06-CSLIB",0.00169910586968558,0.938468483081726,0.0153846153846154
"2021-04-07-08-24-CSLIB",0.00433740892748652,0.963156844285405,0.149112426035503
"2021-04-08-09-42-CSLIB",0.00998258451106724,0.964932114468145,0.377751479289941
"2021-04-09-05-00-CSLIB",0.00507857623547179,0.937815579089304,0.0489940828402367
"2021-04-10-08-24-CSLIB",0.000743919156955632,0.940358954272902,0.0113609467455621
"2021-04-15-13-00-CSLIB",0.0213649621073001,0.975755187156199,0.865798816568047
